contas,nomenclatura_estrutura
Prestação de Serviços de Limpeza,RECEITAS BRUTAS
Prestação de serviços - 2,RECEITAS BRUTAS
Prestação de serviços,RECEITAS BRUTAS
Prestação de Outros Serviços,RECEITAS BRUTAS
Prestação de Serviços Extras de Limpeza,RECEITAS BRUTAS
Prestação de Serviços Extras Outros Serviços,RECEITAS BRUTAS
Prestação de Serviços de Limpeza,(-) DEDUÇÕES DA RECEITA
Prestação de serviços - 2,(-) DEDUÇÕES DA RECEITA
Prestação de Outros Serviços,(-) DEDUÇÕES DA RECEITA
Prestação de Serviços de Limpeza,(-) DEDUÇÕES DA RECEITA
Prestação de serviços - 2,(-) DEDUÇÕES DA RECEITA
Prestação de serviços,(-) DEDUÇÕES DA RECEITA
Prestação de Outros Serviços,(-) DEDUÇÕES DA RECEITA
Prestação de Serviços de Limpeza,(-) DEDUÇÕES DA RECEITA
Prestação de serviços - 2,(-) DEDUÇÕES DA RECEITA
Prestação de serviços,(-) DEDUÇÕES DA RECEITA
Prestação de Outros Serviços,(-) DEDUÇÕES DA RECEITA
Prestação de Serviços de Limpeza,(-) DEDUÇÕES DA RECEITA
Prestação de serviços - 2,(-) DEDUÇÕES DA RECEITA
Prestação de serviços,(-) DEDUÇÕES DA RECEITA
Prestação de Outros Serviços,(-) DEDUÇÕES DA RECEITA
Descontos Contratuais -Faturamento,(-) DEDUÇÕES DA RECEITA
Descontos Contratuais -Recebimento,(-) DEDUÇÕES DA RECEITA
Salários e Ordenados,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Horas extras,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Adicional de insalubridade,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Adicional de periculosidade,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Adicional de disponibilidade,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Adicional noturno,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Adicional tempo de serviço,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Ajuda de custo,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Participação nos Lucros -PLR,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Gratificação,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Prêmios / Bônus,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Outras remunerações,(-) CUSTOS DOS SERVIÇOS PRESTADOS
DSR Complementar,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Férias pagas,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Provisão de férias e Encargos sociais,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Provisão para 13º Salário e Encargos sociais,(-) CUSTOS DOS SERVIÇOS PRESTADOS
INSS parte Empresa,(-) CUSTOS DOS SERVIÇOS PRESTADOS
FGTS parte empresa,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Aviso prévio indenizado,(-) CUSTOS DOS SERVIÇOS PRESTADOS
FGTS sobre indenizações,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Assistência Médica,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Seguro de Vida,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Auxílio alimentação,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Cesta básica,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Vale compras / supermercado,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Auxílio transporte,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Treinamento/Cursos,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Lanches e refeições,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Fretamento,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Vale Transporte Desc. Funcionarios (6%),(-) CUSTOS DOS SERVIÇOS PRESTADOS
Taxa Operacional - Beneficios,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Materiais de consumo,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Materiais de Limpeza,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Materiais para prest de servicos,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Materiais de manutenção e Conserv. Equipamentos,(-) CUSTOS DOS SERVIÇOS PRESTADOS
